Johanne;2126
Henny;2126
Margaretha;2125
Leopold;2122
Karl-Josef;2113
Giovanni;2109
Maja;2102
Christin;2099
Rose;2096
Gertrude;2068
Eckart;2065
Igor;2064
Tilo;2054
Anika;2051
Ricarda;2050
Mirjam;2049
Ibrahim;2031
Gerti;2017
Danuta;2004
Sabina;1993
Reimund;1982
Ayse;1978
Maritta;1976
Ludmila;1973
Sina;1969
Aloys;1959
Marek;1953
Loni;1951
Isabelle;1942
Carl;1936
Marija;1929
Gebhard;1926
Ullrich;1925
Theresa;1923
Wolf-Dieter;1920
Nathalie;1917
Eugenie;1915
Juri;1909
Sandy;1891
Gotthard;1870
Hüseyin;1850
Sophia;1839
Hanni;1833
Monique;1797
Minna;1795
Marietta;1792
Roberto;1788
Leonore;1784
Ewa;1784
Bertram;1772
Reinhild;1771
Henrik;1765
Hans-Gerd;1763
Pamela;1761
HansPeter;1760
Reinhilde;1756
Hannes;1755
Isa;1746
Gerta;1743
Dimitrios;1740
Mina;1737
Albin;1736
Trude;1730
Hans-Jürgen;1729
Arnd;1706
Henri;1705
Hans-Otto;1705
Arndt;1701
Janet;1700
Natalja;1698
Victor;1698
Kunigunde;1696
Wiltrud;1694
Sara;1689
Uli;1683
Friedrich-Wilhelm;1680
Irmtraut;1674
Emine;1669
Sönke;1663
Gesa;1662
Horst-Dieter;1660
Änne;1659
Ortrud;1658
Hans-Günther;1652
Heiderose;1651
Hatice;1651
Silvana;1649
Bastian;1639
Ana;1616
Vincenzo;1616
Mona;1615
Ismail;1608
Birgitta;1599
Brunhild;1593
Ernestine;1588
Aloisia;1585
Norman;1574
Heinz-Josef;1573
Karl-Friedrich;1569
Denis;1567
Lilly;1558
Halina;1555
Marius;1555
Valerie;1554
Antonius;1549
Konstanze;1534
Monica;1531
Frieder;1528
Joanna;1525
Emilia;1524
Ansgar;1521
Angelo;1519
Tom;1518
Rosalinde;1516
Rolf-Dieter;1513
Katarina;1509
Evelyne;1508
Irmhild;1502
Harri;1490
Malte;1483
Cindy;1473
Rico;1473
Kati;1471
Catrin;1469
Inka;1468
Götz;1461
Rosita;1458
Jaqueline;1457
Reinhardt;1450
Hellmut;1446
Bernard;1444
Dunja;1429
Simona;1428
Pascal;1422
Falko;1419
Madeleine;1416
Fridolin;1412
Jolanta;1410
Dietlinde;1402
Helen;1397
Gerhild;1390
Anatoli;1390
Cathrin;1388
Milan;1388
Inna;1386
Marlen;1374
Eckard;1356
Krystyna;1352
Rafael;1351
Manja;1350
Patrizia;1345
Centa;1343
Moritz;1342
Traudel;1335
Friedbert;1335
Wera;1330
Murat;1329
Kai-Uwe;1311
Hardy;1307
Anastasia;1305
Renata;1302
Ira;1302
Berit;1298
Sören;1291
Zita;1290
Rosalia;1288
Leonie;1287
Grazyna;1287
Anne-Marie;1283
Hans-Martin;1280
Vitali;1267
Jose;1267
Heinz-Günter;1267
Diane;1265
Eugenia;1261
Amalia;1261
Luigi;1261
Julian;1258
Alina;1255
Henryk;1248
Heinz-Werner;1248
Brita;1242
Klaus-Dieter;1242
Edward;1240
Burghard;1239
Ortwin;1235
Hans-Walter;1228
Nelly;1221
Christos;1213
Henrike;1204
Konstantinos;1202
Mira;1195
Pierre;1189
Philip;1188
Walli;1187
Mechtild;1187
Kaspar;1186
Kevin;1185
Gabriel;1181
Amanda;1180
Traudl;1175
Leonid;1173
Christiana;1170
Kristine;1169
Hans-Wilhelm;1167
Victoria;1164
Dina;1161
Friedemann;1161
Traude;1157
Myriam;1154
Hanno;1154
Almuth;1152
Kuno;1151
Solveig;1145
Osman;1142
Alla;1138
Lioba;1134
Niels;1132
Herwig;1131
Dierk;1130
Juliana;1118
Rosalie;1109
Meinolf;1108
Undine;1100
Emanuel;1099
Nikola;1098
Gunhild;1093
Fredi;1093
Dörthe;1092
Editha;1091
Bozena;1091
Meinhard;1091
Herma;1090
Fanny;1089
Carlo;1087
Claus-Dieter;1082
Guenter;1077
Cornelius;1077
Clara;1076
Raphael;1076
Rebekka;1075
Hanspeter;1073
Gero;1068
Andy;1066
Luitgard;1059
Mohamed;1058
Torben;1055
Domenico;1054
Lidija;1053
Julie;1053
Annemie;1048
Mary;1046
Alexa;1046
Paulina;1045
Josip;1045
Hans-J.;1045
Sibille;1042
Heidelore;1035
Diethelm;1035
Beata;1034
Swen;1033
Eckehard;1031
Till;1030
Lukas;1030
Berndt;1029
Catherine;1025
Enno;1024
Anka;1023
Theodora;1012
Nikolaos;1011
Gerdi;1008
Hans-Dieter;1003
Bernhardine;1002
Jens-Uwe;1000
Michel;999
Franz-Josef;999
Roswita;994
Aenne;994
Vinzenz;994
Sigurd;993
Nikolaj;993
Stanislaw;988
Susi;986
Maria-Luise;986
Gottlieb;986
Andree;984
Malgorzata;983
Wulf;983
Diethard;982
Edeltrud;981
Hedda;980
Kordula;977
Robin;977
Carlos;977
Kathi;975
Veit;974
Michelle;970
Franco;970
Heinz-Georg;968
Nicolas;965
Dietlind;962
Ivo;956
Dimitri;953
Danny;952
Jonas;951
Mariechen;949
Steven;947
Oxana;946
Mara;946
Lotti;945
Olivia;940
Eleonora;940
Andrzej;934
Betti;931
Karl-Otto;929
Ekaterina;920
Walther;920
Anne-Kathrin;919
KlausPeter;918
Nada;916
Harro;916
Angelina;915
Madlen;913
Janusz;912
Rotraud;910
Hans-Christian;903
Mariola;902
Sandro;900
Gretchen;899
Hans-Jochen;898
Gerlind;897
Gloria;893
Eckhardt;892
Jost;890
Stella;889
Karl-Wilhelm;889
Jelena;888
Yusuf;888
Wenzel;887
Bogdan;886
Guiseppe;882
Gilbert;881
Ernst-August;881
Ehrenfried;880
Ignaz;878
Wieland;877
Louise;875
Greta;875
Karl-Ludwig;874
Magarete;873
Fatima;872
Karl-Ernst;872
Catharina;871
Tatiana;868
Hellmuth;867
Irmela;866
Dorothe;866
Gina;865
Darius;864
Insa;857
Aline;857
Karl-Heinrich;857
Elzbieta;854
Magnus;853
Helmar;852
Lea;851
Romana;849
Gisa;849
Metin;849
Arnulf;849
Senta;848
Mirco;848
Dolores;847
Marieluise;846
Luisa;840
Betina;839
Juergen;838
Miroslaw;835
Kreszenz;834
Sigmund;833
Claus-Peter;833
Claudio;830
Pietro;829
Dorle;827
William;827
Heinz-Joachim;824
Josephine;823
Desiree;822
Annedore;820
Jonas;817
Olav;815
Mia;813
Halil;813
Ramazan;809
Ahmed;809
Inken;807
Hanns;807
Mechthilde;805
Miroslav;802
Cilli;801
Violetta;800
Nadia;797
Janette;797
Iwona;797
Piotr;797
Peer;795
Helfried;795
Eleni;789
Dorota;789
Hans-Georg;789
Samuel;788
Jerzy;788
Gundi;787
Henni;785
Annelise;785
Belinda;784
Mirjana;783
Karl-Hermann;783
Kemal;782
Siegrun;781
Georgia;781
Kläre;779
Dragan;779
Elisa;778
Hildegund;777
Rose-Marie;772
Mohammad;772
Heini;770
Hans-Willi;769
Jacek;767
Vesna;766
Adriana;763
Zbigniew;759
Milena;758
Rocco;756
Ioannis;756
Jane;754
Otfried;754
Friedl;753
